2025-11-26 23:05:53 | Code.exe (14696)               | Ctrl+c
2025-11-26 23:05:53 | Code.exe (14696)               | Ctrl+c
2025-11-26 23:05:53 | Code.exe (14696)               | Ctrl+c
2025-11-26 23:05:53 | Code.exe (14696)               | Ctrl+v
2025-11-26 23:05:54 | Code.exe (14696)               | Ctrl+c
2025-11-26 23:05:54 | Code.exe (14696)               | Ctrl+v
2025-11-26 23:05:54 | Code.exe (14696)               | Ctrl+c
2025-11-26 23:06:10 | Discord.exe (5588)             | Shift+p
2025-11-26 23:06:10 | Discord.exe (5588)             | r
2025-11-26 23:06:10 | Discord.exe (5588)             | o
2025-11-26 23:06:10 | Discord.exe (5588)             | c
2025-11-26 23:06:11 | Discord.exe (5588)             | e
2025-11-26 23:06:11 | Discord.exe (5588)             | s
2025-11-26 23:06:11 | Discord.exe (5588)             | s
2025-11-26 23:06:11 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:11 | Discord.exe (5588)             | q
2025-11-26 23:06:11 | Discord.exe (5588)             | u
2025-11-26 23:06:11 | Discord.exe (5588)             | i
2025-11-26 23:06:12 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:12 | Discord.exe (5588)             | t
2025-11-26 23:06:12 | Discord.exe (5588)             | o
2025-11-26 23:06:12 | Discord.exe (5588)             | u
2025-11-26 23:06:12 | Discord.exe (5588)             | r
2025-11-26 23:06:12 | Discord.exe (5588)             | n
2025-11-26 23:06:13 | Discord.exe (5588)             | e
2025-11-26 23:06:13 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:14 | Discord.exe (5588)             | [BACKSPACE]
2025-11-26 23:06:14 | Discord.exe (5588)             | m
2025-11-26 23:06:14 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:15 | Discord.exe (5588)             | [BACKSPACE]
2025-11-26 23:06:15 | Discord.exe (5588)             | [BACKSPACE]
2025-11-26 23:06:15 | Discord.exe (5588)             | ,
2025-11-26 23:06:15 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:16 | Discord.exe (5588)             | c
2025-11-26 23:06:16 | Discord.exe (5588)             | '
2025-11-26 23:06:16 | Discord.exe (5588)             | e
2025-11-26 23:06:16 | Discord.exe (5588)             | s
2025-11-26 23:06:16 | Discord.exe (5588)             | t
2025-11-26 23:06:16 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:16 | Discord.exe (5588)             | u
2025-11-26 23:06:17 | Discord.exe (5588)             | n
2025-11-26 23:06:17 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:17 | Discord.exe (5588)             | t
2025-11-26 23:06:17 | Discord.exe (5588)             | e
2025-11-26 23:06:17 | Discord.exe (5588)             | r
2025-11-26 23:06:18 | Discord.exe (5588)             | [BACKSPACE]
2025-11-26 23:06:18 | Discord.exe (5588)             | s
2025-11-26 23:06:18 | Discord.exe (5588)             | t
2025-11-26 23:06:18 | Discord.exe (5588)             | [SPACE]
2025-11-26 23:06:19 | Discord.exe (5588)             | Shift+1
2025-11-26 23:06:41 | Discord.exe (5588)             | Shift+n
2025-11-26 23:06:41 | Discord.exe (5588)             | i
2025-11-26 23:06:41 | Discord.exe (5588)             | q
2025-11-26 23:06:41 | Discord.exe (5588)             | u
